"data","valor","serie","tag","grupo"
2024-11-01,117499,7415,"bndes_desembolsos","atividade"
2024-12-01,133684,7415,"bndes_desembolsos","atividade"
2025-01-01,8841,7415,"bndes_desembolsos","atividade"
2025-02-01,19285,7415,"bndes_desembolsos","atividade"
2025-03-01,25169,7415,"bndes_desembolsos","atividade"
1979-02-01,7859,1406,"consumo_energia_eletrica","atividade"
1979-03-01,8108,1406,"consumo_energia_eletrica","atividade"
1979-04-01,8138,1406,"consumo_energia_eletrica","atividade"
1979-05-01,8355,1406,"consumo_energia_eletrica","atividade"
1979-06-01,8379,1406,"consumo_energia_eletrica","atividade"
1979-07-01,8455,1406,"consumo_energia_eletrica","atividade"
1979-08-01,8496,1406,"consumo_energia_eletrica","atividade"
1979-09-01,8805,1406,"consumo_energia_eletrica","atividade"
1979-10-01,8682,1406,"consumo_energia_eletrica","atividade"
1979-11-01,8963,1406,"consumo_energia_eletrica","atividade"
1979-12-01,8959,1406,"consumo_energia_eletrica","atividade"
1980-01-01,9003,1406,"consumo_energia_eletrica","atividade"
1980-02-01,8891,1406,"consumo_energia_eletrica","atividade"
1980-03-01,8956,1406,"consumo_energia_eletrica","atividade"
1980-04-01,9066,1406,"consumo_energia_eletrica","atividade"
1980-05-01,9251,1406,"consumo_energia_eletrica","atividade"
1980-06-01,9298,1406,"consumo_energia_eletrica","atividade"
1980-07-01,9234,1406,"consumo_energia_eletrica","atividade"
1980-08-01,9679,1406,"consumo_energia_eletrica","atividade"
1980-09-01,9614,1406,"consumo_energia_eletrica","atividade"
1980-10-01,9608,1406,"consumo_energia_eletrica","atividade"
1980-11-01,9954,1406,"consumo_energia_eletrica","atividade"
1980-12-01,9501,1406,"consumo_energia_eletrica","atividade"
1981-01-01,10102,1406,"consumo_energia_eletrica","atividade"
1981-02-01,9468,1406,"consumo_energia_eletrica","atividade"
1981-03-01,9804,1406,"consumo_energia_eletrica","atividade"
1981-04-01,9405,1406,"consumo_energia_eletrica","atividade"
